finding_id,severity,sra_ids,axis,status,title,evidence,impact,required_closure
S2RA-001,P1,SRA-001,lifecycle,open,"Source carrier is captured after detector-grid interpolation","reduction_observation_inputs.h:71-94 captures only after load_and_point; todproc_alignment_impl.h:139-143,256-257 and timestream_alignment_helpers.h:365-387 replace telescope columns and TelTime; timestream_alignment_state.h:21-24 declares pre-interpolation authority","Motion gaps, boundaries, and v95 are bound to an interpolated detector grid rather than eligible source-telescope rows","Bind reset/capture/consume to the frozen pre-interpolation source authority and demonstrate the approved lifecycle permutations"
S2RA-002,P1,SRA-002,total-intensity/HWPR,open,"Supported total-intensity carrier preparation retains stale legacy HWPR dependence","todproc_alignment_impl.h:85-99,113-149,259-265 branches on calib.run_hwpr; hwpr_loading.h:16-34 leaves total-intensity state untouched; calib.h:40-41 has no declaration initializer; test_config_scaffold.cpp:7188-7196 preserves stale true state","Supported diagnostics can depend on prohibited stale or uninitialized HWPR state; explicit unsupported_hwpr is also not dominant over every invalid prerequisite permutation","Remove prohibited stale-HWPR dependence from the supported total-intensity route and deterministically enforce the frozen unsupported-HWPR seam"
S2RA-003,P1,SRA-003,validity context,open,"Counterfactual context is built from already RTC-downsampled PTC data and decimated again","rtcproc.h:1184-1245 applies realized downsampling; output call sites pass processed PTC; rtcproc.h:5491-5619 derives rows/flags/time from it and :5689-5719 applies every candidate factor again","Factor 1 is already coarsened; M>1 is double-decimated; OR-reduced flags and FIR context cannot reproduce native counterfactual validity","Evaluate every candidate on the exact native total-intensity domain with the realized filter/phase authority, without reconstructing it from coarsened output"
S2RA-004,P1,SRA-003,exclusion accounting,open,"Scan-boundary guards and complete category accounting are absent from the final exact context","rtcdiag_scan_summary.h:221-252 constructs guarded eligible rows but rtcproc.h:5554-5573 uses only unguarded interval lookup; input boundary is serialized as zero at rtcdiag_scan_summary.h:1108-1123; only category counts, not required fractions, exist; nonfinite time is classified as gap first","Boundary, gap, and nonfinite exclusions can be misclassified and required complete accounting is unavailable or contradictory","Consume the frozen guarded source-row mask, preserve category precedence, and serialize complete mutually exclusive counts and fractions"
S2RA-005,P1,SRA-004,resource safety,open,"Preflight underbounds actual response work and omits material work/storage","rtc_learned_sampling_metrics.h:642-667 evaluates unaliased plus M images but :1113-1135 charges only M image terms; exact probe admits 360703607 while actual is 515005150 over the 500000000 limit; per-row linear interval lookup, category storage, nine source arrays, and raw-manifest bytes are uncharged","The candidate can perform work or allocate/write storage above its declared hard limits and detect file size only after publication work","Use overflow-safe guards that cover the exact invoked calculation, context construction, transient allocations, serialized auxiliary state, and manifest bytes before evaluation/publication"
S2RA-006,P1,SRA-005,product contract,open,"Executable successor contract accepts malformed conditional schemas and weak identity bindings","validate_product_contract.py:1015-1102 and rtcdiag_netcdf.h:205-218 check incomplete dimensional/cardinality relations; exact check returns no errors for an available 81-variable table collapsed to one dimension and for unavailable count 7 with no dimension; required cadence/filter/beam/support fields and FIR/manifest digest recomputation are absent","Products can pass while contradicting writer shape, conditional count, exact rerun identity, and provenance requirements","Make the executable mode contract enforce full scan/array/candidate shape, truthful unavailable count, complete compact state, and relational identity/digest bindings"
S2RA-007,P1,SRA-005,contract identity,open,"Published contract/profile scalars do not identify the executable mode contract/profile","rtcdiag_netcdf.h:38-43,317-322 embeds nonexistent generic contract sci-rtc-001-stage-a-successor-products-v1 and point profile for all modes; actual wrappers/profiles are mode-specific at product_contracts.json:2811-2848 and validation_profiles.json:483-648","OOF, Beammap, and science products claim the point profile and no registry contract matches the embedded contract ID","Bind each product to its exact executable mode-specific successor contract and preparing validation profile"
S2RA-008,P1,"SRA-005;SRA-009",provenance identity,open,"The joined object is not a canonical raw-input manifest","reduction_observation_pipeline.h:30-40 passes raw_timestream_provenance.yaml; raw_timestream_provenance.h:147-166 contains config/observation resolution but no raw membership, roles, paths, or hashes; finalizer accepts any nonempty bytes","The required exact raw-input join and reproducible input identity are absent even when publication succeeds","Join the successor product to the frozen canonical raw-input membership/identity bytes and validate the digest relationship"
S2RA-009,P1,SRA-009,atomic publication,open,"Failed rtcdiag publication can break the prior-good manifest join","raw_timestream_provenance_lifecycle.h:80-96 replaces a fixed sidecar before rtcdiag finalization; later provenance/validation/sync/close/publish failure preserves prior rtcdiag but not its prior sidecar; tests preserve only the NetCDF file","A previously complete advertised generation can become internally inconsistent after a failed successor attempt","Publish one self-contained file or a generation-specific set with one manifest/pointer committed last; cover the complete failure matrix and prior-good join"
S2RA-010,P1,"SRA-001;SRA-007",independent evidence,open,"Lifecycle and observe-only evidence does not cross the production boundary","test_rtc_learned_sampling_metrics.cpp:325-339 reuses candidate transfer helper; :627-653 tests carrier helpers; :756-789 compares unrelated local science/RTC/PTC/map vectors; no B/A, failed/partial, repeated, or permitted-parallel production permutation exists","Green tests cannot establish same-observation ownership, no stale context, numerical independence, or non-interference with production science","Provide independent-oracle numerical checks and real production A/B, B/A, failure, repeat, and permitted-parallel lifecycle/non-interference evidence"
S2RA-011,P1,SRA-008,cadence provenance,open,"Ordinary epoch-valued realized cadence is falsely rejected as irregular","rtcdiag_scan_summary.h:61-95 uses max(1e-9,64eps*median) on Unix epoch doubles; ideal 488 Hz grid at epoch 1.7e9 has representable step spread 2.384185791015625e-7 and the independent probe returns would_reject=True","Normal observations can lose all dependent Stage A metrics as irregular_realized_cadence","Derive cadence with a numerically sound epoch-aware method while preserving the frozen valid-realized-grid authority"
S2RA-012,P2,SRA-008,cadence consistency,open,"Requested/effective/realized consistency statuses are not independent or safely reset","rtcdiag_scan_summary.h:61-117 calculates both statuses only after realized cadence succeeds and does not fully clear repeated-call fields; frequency-derived requests retain requested_factor<=0 and become unavailable_nonpositive","A requested/effective mismatch can be hidden by an unrelated realized-cadence failure and valid frequency requests are mislabeled","Compute and reset each provenance value/status independently, retaining every knowable mismatch without blocking truthful realized diagnostics"
S2RA-013,P2,SRA-006,build identity,open,"Full 40-hex source identity is a stale configure-time snapshot","CMakeLists.txt:67-96 captures commit/dirty only during configure with no Git ref/index/worktree build dependency; runtime validates those constants but ordinary rebuild can compile changed source under the old clean SHA","A syntactically valid clean commit scalar need not identify the compiled source","Make committed build/source identity refresh or fail for every ordinary build and validate it after write/reopen"
S2RA-014,P2,SRA-004,candidate enumeration,open,"Exact finite M_max is discarded above INT_MAX","rtc_sampling_candidate_mmax at rtc_learned_sampling_metrics.h:1042-1056 returns -1 for larger finite floors; rtcdiag_scan_summary.h:634-642 maps it to invalid_cadence; 8.48,1e10,1 yields -1 instead of 84800000000","The exact physical candidate bound and truthful resource-limit status are lost on a valid finite input","Retain exact M_max in a sufficient integer representation and report explicit resource-limit status without attempting or silently truncating enumeration"
S2RA-015,P2,SRA-001,observation identity,open,"Production carrier consumption validates only obsnum","timestream_alignment_state.h:52-81 binds/checks observation index, obsnum, and telescope path; rtcdiag_output_impl.h:98-103 checks only availability and obsnum","Different reduction-local observations or telescope sources sharing an external obsnum can consume stale context","Validate the complete bound observation identity at the production consumer and cover mismatched index/path plus repeated/failure permutations"
