record_id,record_kind,title,scope_class,timestream_facets,work_packet,xod_links,ts_clarification_links,package_decision_links,current_state,owner,closure_target,notes,repair_artifact,successor_version,owner_approval,source_digest,closure_commit,ts_reaudit_result
"F-001","BASELINE_FINDING","PTC transformed-signal and centering identities conflict","REQUIRED","signal;response;uncertainty;lifecycle;provenance","WP-1_PTC_SUCCESSOR","XOD-001","TS-CLAR-001","PTC-AUTH-D027;PTC-OWNER-Q002","OPEN","SCI-PTC scientific owner","Versioned PTC successor with one exact transformed-signal and application identity, an unambiguous removed-component/null-space definition, and consistent fixed-state response, full-procedure response, companion, covariance, replay, and provenance clauses.","The audit does not select the repair equation; the proposed affine formulation remains a candidate until owner-approved.","","","","","",""
"F-002","BASELINE_FINDING","PTC named-use eligibility equation omits base-false ineligibility","REQUIRED","policy;signal;lifecycle;provenance","WP-1_PTC_SUCCESSOR","XOD-002","TS-CLAR-001","","OPEN","SCI-PTC scientific owner; SCI-VAL evaluates but does not author policy","Owner-approved complete T/F/U/C-congruent named-use rule or a successor that publishes exact producer facts and delegates complete propositions to registered use-specific VAL profiles.","No additional local Boolean shortcut may leave an uncovered state; all seven use identities require explicit owner dispositions tracked under F-004.","","","","","",""
"F-003","BASELINE_FINDING","VAL source bindings are stale for the consolidated package state","REQUIRED","policy;provenance;lifecycle","WP-5_VAL_BINDINGS_PROFILES","XOD-003","","","OPEN","SCI-VAL Registry/source-binding authority; imported ALIGN, AST, RTC, CAL, and PTC scientific owners","After producer stabilization, superseding exact version, digest, and compatibility rows for ALIGN, AST, RTC, CAL, and repaired PTC; any MAP import is explicitly deferred or unavailable for timestream-only profiles.","Mixed finding: current-source timestream bindings are required; the MAP source-binding facet remains open and deferred.","packages/SCI-VAL/v0.1/SOURCE_BINDING_REGISTER.md","Continuing r0.3 register bound to frozen ALIGN r0.3, AST r0.3, RTC r0.12, CAL r0.5-r0.4, and PTC r0.5; MAP deferred","WP5-OWNER-D001 approved 2026-08-24","ff5402b71c40f31daac1f7c820a705a5a23eb64688f70955fac76e10e2916430","",""
"F-004","BASELINE_FINDING","Ordinary-chain PTC and MAP profiles are reserved, not usable","REQUIRED","policy;signal;response;uncertainty;lifecycle","WP-5_VAL_BINDINGS_PROFILES","XOD-004;XOD-005","TS-CLAR-001","WP5-OWNER-D003;WP5-OWNER-D004;WP5-OWNER-D005;WP5-OWNER-D006;WP5-OWNER-D007;WP5-OWNER-D008;WP5-OWNER-D009;WP5-OWNER-D010;WP5-OWNER-D011","OPEN","SCI-PTC scientific owner for PTC uses; SCI-VAL Registry; SCI-MAP owner deferred","Owner-approved disposition of all seven PTC use identities: a complete source-current registered profile for every supported/requested use, an explicit unsupported declaration, or a replacement only after owner-proved equivalence.","Mixed finding: PTC use dispositions are required, but response-companion admission gates TS-R rather than necessarily TS-S and empirical/simulation use may remain explicitly unsupported. SCI-MAP:map_upstream_admission remains unavailable and deferred. D003 authorizes compact exact-digest factoring only after a restriction is proved common to all seven uses; the fragment grants no permission and all use profiles remain complete distinct propositions. D004 approves the ordinary basis-fit proposition, including the frozen identity between its admitted population and binary centering influence. D005 approves the loading-fit proposition as coupling estimation to a fixed model and limits required inputs to those explicitly named by the frozen loading estimator. D006 approves group-local frozen application with rank-deficiency and all silent fallbacks fail closed. D007 separates calculated values, ordinary PTC science-signal retention, and every later-use admission. D008 explicitly leaves the generic coefficient/QC profile unsupported, permits PTC-owned informational diagnostics without VAL profiles, and requires use-specific policy only when a diagnostic gains decision authority. D009 binds VAL admission to the existing frozen tracked-kernel propagation and creates no new response object or computation. D010 finds no PTC v0.1 ensemble-inference proposition and leaves the generic empirical/simulation profile explicitly unsupported and unbound. D011 approves a minimal non-evaluable common semantics fragment and makes scientific relevance explicit: unrelated metadata, including its availability or unknown state, has no admission consequence. The exact fragment and five profiles remain to be authored and digest-bound.","audits/SIX_PACKAGE_TIMESTREAM_CLOSURE_PROGRAM_55EFD8A/WP5_VAL_SCIENTIFIC_OWNER_DECISION_PACKET.md","Five supported PTC propositions, two explicit unsupported dispositions, and minimal common-fragment semantics approved; exact fragment and final profiles remain unbound pending authoring","WP5-OWNER-D003--D011 approved 2026-08-24","","",""
"F-005","BASELINE_FINDING","The sole registered VAL profile is structurally incomplete under the Registry's own rule","REQUIRED","policy;exposure;provenance","WP-5_VAL_BINDINGS_PROFILES","XOD-006","TS-CLAR-002","","OPEN","Named independent-exposure policy owner; SCI-VAL Registry; current ALIGN and RTC owners","Superseding complete SCI-VAL:independent_exposure record with current source bindings and explicit aggregation and propagation compatibility dispositions, including explicit not_applicable values where justified.","Completion authorizes only the profile's exact proposition and compatibility scope; it does not create an aggregate or MAP exposure policy.","packages/SCI-VAL/v0.1/PROFILE_REGISTRY.md","SCI-VAL:independent_exposure@1 continuing r0.3 atomic-only registry record","WP5-OWNER-D002 approved 2026-08-24","603dae189fba176dd1a1bbef747386543d0b1990a3a56936afed3f923bc7e503","",""
"F-006","BASELINE_FINDING","Exact RTC-to-AST sample-grid boundary body is absent","REQUIRED","coordinate;identity;response;support;provenance","WP-2_TS_BOUNDARIES","XOD-008","","","OPEN","Joint SCI-RTC and SCI-AST scientific owners","Owner-approved versioned RTC-to-AST boundary binding exact product, plan, grid, representative ALIGN slot, time, phase/delay, segment, decimation, support, response, correction state, status, failure, compatibility, and provenance.","This is required for the coordinate-attached processed-timestream tier; it composes but does not alter RTC or AST mathematics.","boundaries/v0.1/SCI-RTC_TO_SCI-AST_SAMPLE_GRID_BOUNDARY.md","v0.1/r0.1","Exact packet approved 2026-08-23 at 967cf83452269038d13c7233ce40ba8e2c8a1790","237cc448e6597a207158858cf5e9dbf603a52ec8ad4f0859eb6788274677bb71","",""
"F-007","BASELINE_FINDING","Detector-geometry and field-rotation boundary body is absent","REQUIRED","coordinate;identity;uncertainty;provenance","WP-2_TS_BOUNDARIES","XOD-009","","","OPEN","Measured geometry/APT owner; SCI-AST boundary owner","Approved geometry/field-rotation interface and runtime binding rule covering occurrence association, representation, basis, handedness, gauge, pivot, rotation law, application count, unresolved affine terms, covariance, equivalence transforms, failure, and provenance.","The frozen contract needs an exact producer interface; an observation-specific APT instance is a runtime realization, not necessarily a repository freeze payload.","boundaries/v0.1/DETECTOR_GEOMETRY_FIELD_ROTATION_BOUNDARY.md","v0.1/r0.1","Exact packet approved 2026-08-23 at 967cf83452269038d13c7233ce40ba8e2c8a1790","690f2956f38f7146a6289af805395b7c3162ba0fc8c7f74f31bf81e26f2d417c","",""
"F-008","BASELINE_FINDING","RTC reuses `K` for two independent counts","REQUIRED","response;lifecycle;provenance","WP-4_SOURCE_HYGIENE","","","","OPEN","SCI-RTC scientific owner","Owner-approved notation erratum or versioned successor mapping distinct filter-stage, accepted-plan, and response-kernel symbols with semantic parity.","Required for formal timestream replay; no numerical behavior change is authorized.","audits/SIX_PACKAGE_TIMESTREAM_CLOSURE_PROGRAM_55EFD8A/WP4_RTC_NOTATION_SEMANTIC_MAPPING.md","Frozen SCI-RTC v0.1/r0.12 plus notation-only mapping","WP4-OWNER-D001 approved 2026-08-24","c5466abe6386715c52edbf1632972b2ec5c1f39ae684612a5b47813a1d919a09","",""
"F-009","BASELINE_FINDING","PTC reuses `C` for causes and estimator candidates","REQUIRED","policy;signal;lifecycle;provenance","WP-1_PTC_SUCCESSOR","","","","OPEN","SCI-PTC scientific owner","PTC successor using distinct cause/fact-accumulation and estimator-candidate symbols with an exact old-to-new semantic map.","Close in the same bounded successor as F-001, F-002, and F-011.","","","","","",""
"F-010","BASELINE_FINDING","AST contains unresolved formal-symbol and role-name mismatches","REQUIRED","coordinate;response;provenance","WP-4_SOURCE_HYGIENE","","","","OPEN","SCI-AST scientific owner","Owner-approved notation-only correction or versioned successor mapping every timestream-relevant old symbol to one canonical coordinate, geometry, bundle, and parent role with parity proof.","Do not add MAP projection semantics while correcting AST notation; MAP-only G_pi authority remains deferred.","audits/SIX_PACKAGE_TIMESTREAM_CLOSURE_PROGRAM_55EFD8A/WP4_AST_NOTATION_SEMANTIC_MAPPING.md","Frozen SCI-AST v0.1/r0.3 plus notation-only mapping","WP4-OWNER-D002 approved with compact-crosswalk constraint 2026-08-24","514e05c2b4e3d7053ee23e9e1a11f269252d97c63c8be69354e330b0a1310636","",""
