"normalized_issue_id","normalized_issue","predecessor_codex_id","predecessor_codex_original_formulation","predecessor_codex_scenarios","predecessor_chatgpt_id","predecessor_chatgpt_original_formulation","predecessor_chatgpt_scenarios","approved_authority_ids","approved_authority_effect","successor_id","successor_original_formulation","successor_scenarios","classification","contract_architecture_result","separate_unassessed_or_retained_boundary","comparison_basis"
"WP7-N001","Native paired-x/r authority status and publication","PRE-CODEX-F01","Approval-pending native producer interface blocks the exact acquisition edge","IND-S01; IND-S02","CHATGPT-WP7-001","Native paired-x/r producer interface has unresolved authority status","S-01; S-02; S-16","WP7-OWNER-D001","Publishes the exact five-file approval set and gives bounded precedence to the approval record and source manifest over only the retained pre-promotion status/candidate wording.","SUCCESSOR-F01","ordinary and coordinate/exposure lower tiers close","IS-001; IS-013","CLOSED BY APPROVED SUCCESSOR AUTHORITY","The successor admits the exact interface digest plus approval set, finds no status contradiction, and closes TS-A/TS-S type-level entry semantics.","Observation-specific Tune/readout mapping records, implementation conformity, and realized availability remain unassessed.","Both predecessor auditors identified the same authority-status defect; D001 supplies precisely their requested exact-byte approval and precedence evidence, and the locked successor independently proceeds without the conflict."
"WP7-N002","CAL fixed atmosphere, node-table, and passband numerical authority","PRE-CODEX-F02","CAL's numerical atmosphere authority is not self-contained in the admitted packet","IND-S01; IND-S09","CHATGPT-WP7-002","CAL's exact atmosphere/passband evaluation is not source-closed","S-01; S-09","WP7-OWNER-D002 Gate A; WP7_REPAIR_AUTHORITY_MANIFEST; WP7-PASSBAND-COMPAT","Admits the exact recovered machine contract, node table, and passband members at their frozen identities without regeneration or substitution; the passband binding supplies only exact guarded aliases.","SUCCESSOR-F01","ordinary and coordinate/exposure lower tiers close","IS-001; IS-003; IS-004; IS-017; IS-025","CLOSED BY APPROVED SUCCESSOR AUTHORITY","The successor inventory binds the three exact numerical identities and its ordinary witness uses the supported atmosphere/passband operator, supporting TS-S.","Implementation evaluation, observational coverage, achieved numerical accuracy, and production readiness remain unassessed.","The static bytes absent from both predecessor packets are admitted at the exact required hashes; no inferred surface or substitute passband is used."
"WP7-N003","Exact WVR interpolation and fail-closed unavailable-opacity behavior","PRE-CODEX-F02","CAL's numerical atmosphere authority is not self-contained in the admitted packet","IND-S01; IND-S09; IND-S10","CHATGPT-WP7-002","CAL's exact atmosphere/passband evaluation is not source-closed","S-01; S-08; S-09","WP7-OWNER-D002 Gates B-C","Approves cal_wvr_tau225_linear_detector_time_v1 and cal_wvr_tau225_unavailable_v1 with exact same-observation, binary64, bracketing, cause, and no-fallback semantics.","SUCCESSOR-F01","ordinary and coordinate/exposure lower tiers close","IS-004; IS-016; IS-017; IS-021","CLOSED BY APPROVED SUCCESSOR AUTHORITY","The successor ordinary witness uses exact/bracketed supported WVR opacity and preserves exact fail-closed behavior for missing, conflicting, invalid, or unsupported states.","Availability of valid WVR records for a particular observation and implementation conformance remain unassessed.","The combined predecessor CAL finding included the absent exact temporal rule; D002 supplies it and the successor exercises its positive and negative contract oracles."
"WP7-N004","Deterministic observation-wide opacity classifier","PRE-CODEX-F03","The observation-wide opacity classifier is incompletely specified","IND-S10; IND-S11; IND-S12","","","","WP7-OWNER-D003; WP7-CAL-QUALITY-TOKEN-COMPAT","Approves cal_wvr_observation_quality_mean_peak_v1 with exact population, coverage, time-weighted mean, peak, excursion, boundary, precision, cause, and class rules; binds exact scoped token aliases.","SUCCESSOR-F01","ordinary and coordinate/exposure lower tiers close","IS-004; IS-005; IS-021; IS-024","CLOSED BY APPROVED SUCCESSOR AUTHORITY","The successor independently applies one deterministic classifier while keeping observation class separate from sample-local CAL support and PTC named-use consequences.","Achieved atmosphere fidelity, observational performance, science qualification, and runtime implementation remain unassessed.","D003 answers every ambiguity named by PRE-CODEX-F03, including the exact meaning of momentary and all boundary/failure behavior."
"WP7-N005","Conditional ALIGN/AST observation-instance coordinate authorities","PRE-CODEX-F04","Coordinate schemas are closed, but several successful-role authorities remain conditional","IND-S06; IND-S19; IND-S20; IND-S21; IND-S22","CHATGPT-NONFINDING-COORD","ALIGN/AST exact realization parents remain conditional or open and block only their named products/claims","S-03; S-04","WP7_OWNER_DECISION_PACKET section 10","Explicitly retains conditional ALIGN/AST realization authorities outside the repair lane.","SUCCESSOR-F01; SUCCESSOR-F05","ordinary and coordinate/exposure lower tiers close | runtime realization is intentionally separate","IS-001; IS-015; IS-018","RETAINED/EXPECTED SCOPE LIMITATION","TS-C is ready at type-level because exact runtime parents may instantiate the declared roles and every missing/conflicting parent fails closed.","No claim is made that a real observation supplies the required telescope, pointing, geometry, association, center, or covariance/Jacobian parents.","The successor changes the tier result after TS-S closure but preserves the predecessor's conditional-runtime boundary; that is neither contradiction nor regression."
"WP7-N006","Complete source/beam-to-PTC response seed","PRE-CODEX-F05","Complete source/beam-to-PTC conditional response is not supplied","IND-S18; IND-S32; IND-S33; IND-S34","CHATGPT-NONFINDING-RESPONSE","Source-domain response is unavailable without complete K_up->CAL; local fixed-state propagation is a different role","S-12","WP7_OWNER_DECISION_PACKET section 10","Explicitly retains complete source/beam-to-PTC response without K_up->CAL as a limitation and excludes stronger response products from the repair.","SUCCESSOR-F02","complete source/beam response seed is absent","IS-026; IS-027; IS-028; IS-029; IS-030","RETAINED/EXPECTED SCOPE LIMITATION","The successor preserves exact local/conditional propagation and truthfully leaves TS-R not ready because no concrete source/beam K_up->CAL authority is admitted.","Implementation response, beam/scan realization, full-procedure response, observational validation, and MAP remain outside scope.","The same bounded gap is independently re-observed, but it was explicitly retained by owner authority; it is not a failed repair, recurrent finding, or regression."
"WP7-N007","Numerical covariance seed and stronger uncertainty authority","PRE-CODEX-F06","Conditional covariance lineage is exact, but numerical and stronger uncertainty are absent","IND-S35; IND-S36","CHATGPT-NONFINDING-UNCERTAINTY","Numerical signal may exist while complete nuisance/systematic covariance is unavailable","S-13","WP7_OWNER_DECISION_PACKET section 10","Explicitly retains numerical and stronger total covariance without admitted C_Y and complete nuisance/selection authority; excludes stronger covariance products from repair.","SUCCESSOR-F03","conditional covariance has no admitted seed","IS-031; IS-032; IS-033; IS-034","RETAINED/EXPECTED SCOPE LIMITATION","The successor preserves exact propagation algebra but leaves TS-U not ready because the ordinary route has no admitted covariance producer.","Statistical/noise realization, nuisance and selection terms, cross-observation/cross-array covariance, implementation, and validation remain outside scope.","The successor result is the approved retained limit, not recurrence or regression; absent covariance remains unavailable rather than zero."
"WP7-N008","Named stronger claim and TS-T evidence set","PRE-CODEX-TS-T","No specifically instantiated stronger claim has complete response, uncertainty, nuisance, cross-covariance, applicability, and owner authority","IND-S34; IND-S36","CHATGPT-TS-T","No named stronger claim established; explicit claim limitation rather than an additional finding","S-12; S-13","WP7_OWNER_DECISION_PACKET sections 1, 10, and 11","Excludes stronger response/covariance products and stronger-tier delivery from the bounded repair.","SUCCESSOR-F04","no stronger named claim is authorized","Tier implication TS-T","RETAINED/EXPECTED SCOPE LIMITATION","The successor leaves TS-T not ready because no stronger claim is both named and fully resourced.","Observational qualification, achieved performance, mapping, significance, beam recovery, and downstream acceptance remain outside scope.","No approved repair purported to deliver TS-T, so the unchanged bounded result is not a regression or recurrent repair failure."
"WP7-N009","RTC logical-stream terminal completion and materialization semantics","PRE-CODEX-F07","The RTC-only external consumer is not named","IND-S38; IND-S39; IND-S40","CHATGPT-NONFINDING-RTC-ENDPOINT","RTC-only terminal route is a defined endpoint and implies no CAL, PTC, or MAP","S-02","WP7-OWNER-D004","Defines completion of the consumer-neutral logical stream plus observation-level fact finalization, permits incremental operation, and rejects mandatory observation-sized materialization.","SUCCESSOR-RTC-RESULT","RTC-only terminal route result","IS-009; IS-010; IS-011","CLOSED BY APPROVED SUCCESSOR AUTHORITY","The successor independently finds the PTC-disabled RTC route contract-closed without CAL/PTC/MAP, serialization, or external acceptance.","A separately governed external consumer and its acceptance criteria remain outside this endpoint and are normalized separately as WP7-N010.","D004 closes the endpoint ambiguity that motivated repair without converting an external handoff into a WP-7 requirement."
"WP7-N010","Named external raw-domain consumer and acceptance contract","PRE-CODEX-F07","The RTC-only external consumer is not named","IND-S40","CHATGPT-NONFINDING-RTC-ACCEPTANCE","RTC-only completion does not establish downstream-consumer acceptance","S-02","WP7-OWNER-D004","Explicitly states that the terminal route requires no unnamed consumer and claims no external-consumer acceptance; any later governed handoff needs its own approved contract.","SUCCESSOR-RTC-RESULT","RTC-only terminal route result","IS-009","RETAINED/EXPECTED SCOPE LIMITATION","The RTC terminal product is contract-closed while external-consumer admission and acceptance remain deliberately unclaimed.","Consumer identity, subset, cadence/grid, coordinates, support, response, uncertainty, serialization, failure behavior, and acceptance criteria require separate authority.","D004 resolved terminal completion by separating it from external acceptance; it did not and was not intended to close PRE-CODEX-F07's external-contract boundary."
