invariant_id,short_name,lane,producer_package,producer_source,producer_clause,consumer_package,consumer_source,consumer_clause,relation,status,finding_id,owner_decision_id,map_handoff_member
"IF-001","Tune/readout native pair to ALIGN","signal","EXTERNAL-TUNE","not supplied in admitted packet","external native I/Q-to-x/r mapping authority","SCI-ALIGN","packages/SCI-ALIGN/v0.1/src/common/requirements.tex","SCI-ALIGN-REQ-001; SCI-ALIGN-REQ-007","unavailable","MISSING PRODUCER GUARANTEE","F-017","XOD-015","sample identity and parent chain"
"IF-002","ALIGN to AST transfer","coordinate","SCI-ALIGN","packages/SCI-ALIGN/v0.1/SCI-ALIGN_TO_SCI-AST_BOUNDARY.md","SCI-ALIGN_TO_SCI-AST v0.1/r0.1; sha256 04357d36b302d607b95950f529044e178deb2528d0c6f656d90da93067a5da36","SCI-AST","packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-AST-REQ-006--012","exact identity","COHERENT","","","AST coordinate parent"
"IF-003","ALIGN aligned pair to RTC","signal","SCI-ALIGN","packages/SCI-ALIGN/v0.1/src/common/requirements.tex","SCI-ALIGN-REQ-003--006; SCI-ALIGN-REQ-050","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-003; SCI-RTC-REQ-084--085; SCI-RTC-REQ-115; SCI-RTC-REQ-139","exact identity","COHERENT","","","sample identity and parent chain"
"IF-004","AST ALIGN-grid coordinates to RTC plan","coordinate","SCI-AST","packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-AST-REQ-073; SCI-AST-REQ-078--079","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-009; SCI-RTC-REQ-060; SCI-RTC-REQ-113; SCI-RTC-REQ-121","compatible convention","COHERENT","","","AST ALIGN-grid coordinate and source-protection facts"
"IF-005","RTC output grid to AST RTC role","coordinate","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-028--029; SCI-RTC-REQ-037; SCI-RTC-REQ-041; SCI-RTC-REQ-114","SCI-AST","packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-AST-REQ-074--079","compatible convention","IDENTITY OR GRID GAP","F-006","XOD-008","AST RTC-grid coordinate/WCS"
"IF-006","ALIGN/AST time-elevation-airmass to CAL","signal; coordinate","SCI-ALIGN; SCI-AST","packages/SCI-ALIGN/v0.1/src/common/requirements.tex; packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-ALIGN-REQ-020--022; SCI-AST-REQ-021; SCI-AST-REQ-036--044","SCI-CAL","packages/SCI-CAL/v0.1/src/common/requirements.tex","SCI-CAL-REQ-003; SCI-CAL-REQ-021--024","compatible convention","EXTERNAL AUTHORITY REQUIRED","F-017","XOD-015","calibration atmosphere parent"
"IF-007","RTC conditioned x to CAL","signal","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-003--005; SCI-RTC-REQ-103; SCI-RTC-REQ-114; SCI-RTC-REQ-137","SCI-CAL","packages/SCI-CAL/v0.1/src/common/requirements.tex","SCI-CAL-REQ-001; SCI-CAL-REQ-003; SCI-CAL-REQ-015--016","exact identity","COHERENT","","","calibrated sample signal parent"
"IF-008","CAL calibrated x to PTC","signal","SCI-CAL","packages/SCI-CAL/v0.1/src/common/requirements.tex","SCI-CAL-REQ-002--003; SCI-CAL-REQ-015--016; SCI-CAL-REQ-039--043","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-001; SCI-PTC-REQ-010; SCI-PTC-REQ-061--062","exact identity","COHERENT","","","transformed calibrated signal parent"
"IF-009","RTC ancestry to PTC","provenance","SCI-RTC","packages/SCI-RTC/v0.1/src/common/requirements.tex","SCI-RTC-REQ-046; SCI-RTC-REQ-050; SCI-RTC-REQ-114; SCI-RTC-REQ-134","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-002--005; SCI-PTC-REQ-017","exact identity","COHERENT","","","sample identity and parent chain"
"IF-010","AST masks geometry and response facts to PTC","coordinate; response","SCI-AST","packages/SCI-AST/v0.1/src/common/requirements.tex","SCI-AST-REQ-056--060; SCI-AST-REQ-065--072; SCI-AST-REQ-073--079","SCI-PTC","packages/SCI-PTC/v0.1/src/common/requirements.tex","SCI-PTC-REQ-018; SCI-PTC-REQ-061; SCI-PTC-REQ-081","explicit narrowing","RESPONSE GAP","F-012","XOD-011","response and null-space state"
