"invariant_id","short_name","producer_package","producer_source","producer_clause","consumer_package","consumer_source","consumer_clause","relation","status","finding_id","owner_decision_id"
"CHAIN-INV-001","exact RTC conditioned-x parent","SCI-RTC","src/common/definitions.tex; src/common/requirements.tex","SCI-RTC-DEF-004; SCI-RTC-DEF-018; SCI-RTC-REQ-001--005; SCI-RTC-REQ-103","SCI-CAL","src/common/requirements.tex; SCIENTIFIC_OWNER_DECISION_LEDGER.md","SCI-CAL-REQ-001; SCI-CAL-REQ-003; CAL-OWNER-Q01","exact identity","MISSING CONSUMER DISPOSITION","HCF-002","CHAIN-OD-001"
"CHAIN-INV-002","identity and occurrence continuity","SCI-RTC","src/common/definitions.tex; src/common/requirements.tex","SCI-RTC-DEF-001; SCI-RTC-DEF-004; SCI-RTC-REQ-006--008; SCI-RTC-REQ-083--086","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-003; SCI-CAL-REQ-006--012; SCI-CAL-REQ-047--048","exact identity","COHERENT","HCF-001",""
"CHAIN-INV-003","RTC signal semantics admitted by CAL","SCI-RTC","src/common/requirements.tex","SCI-RTC-REQ-001--005","SCI-CAL","src/common/requirements.tex; SCIENTIFIC_OWNER_DECISION_LEDGER.md","SCI-CAL-REQ-001--004; CAL-OWNER-Q01","compatible convention","MISSING CONSUMER DISPOSITION","HCF-002","CHAIN-OD-001"
"CHAIN-INV-004","raw-r lineage not calibrated","SCI-RTC","src/common/equations.tex; src/common/requirements.tex","SCI-RTC-EQ-004; SCI-RTC-EQ-006; SCI-RTC-REQ-092; SCI-RTC-REQ-103; SCI-RTC-REQ-108","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-001","narrowing of domain","COHERENT","HCF-001",""
"CHAIN-INV-005","RTC plan and response status reach CAL","SCI-RTC","src/common/definitions.tex; src/common/requirements.tex","SCI-RTC-DEF-004; SCI-RTC-DEF-010; SCI-RTC-DEF-018; SCI-RTC-REQ-037--041; SCI-RTC-REQ-103","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-003; SCI-CAL-REQ-040--043","exact identity or unavailable","MISSING CONSUMER DISPOSITION","HCF-004","CHAIN-OD-003"
"CHAIN-INV-006","RTC support and influence reach CAL","SCI-RTC","src/common/definitions.tex; src/common/equations.tex; src/common/requirements.tex","SCI-RTC-DEF-011--013; SCI-RTC-EQ-020; SCI-RTC-REQ-019--020; SCI-RTC-REQ-046--052","SCI-CAL","src/common/requirements.tex","SCI-CAL-REQ-003--004; SCI-CAL-REQ-045--048","exact identity or explicit narrowing","MISSING CONSUMER DISPOSITION","HCF-006","CHAIN-OD-006"
"CHAIN-INV-007","CAL preserves RTC grid and time","SCI-RTC","src/common/equations.tex; src/common/requirements.tex","SCI-RTC-EQ-011; SCI-RTC-REQ-028--029; SCI-RTC-REQ-103","SCI-CAL","src/common/equations.tex; src/common/requirements.tex","SCI-CAL-EQ-004--006; SCI-CAL-EQ-008--009; SCI-CAL-REQ-015--016; SCI-CAL-REQ-031; SCI-CAL-REQ-039","exact identity","COHERENT","HCF-001",""
"CHAIN-INV-008","CAL absolute factor once","SCI-RTC","src/common/equations.tex; src/common/requirements.tex","SCI-RTC-EQ-001--004; SCI-RTC-REQ-014--016","SCI-CAL","src/common/equations.tex; src/common/requirements.tex","SCI-CAL-EQ-004--006; SCI-CAL-REQ-013--016","declared transformation","COHERENT","HCF-001",""
"CHAIN-INV-009","CAL atmosphere once","SCI-RTC","src/common/equations.tex","SCI-RTC-EQ-003--004","SCI-CAL","src/common/equations.tex; src/common/requirements.tex","SCI-CAL-EQ-004--006; SCI-CAL-REQ-015--016; SCI-CAL-REQ-021--031","declared transformation","COHERENT","HCF-001",""
"CHAIN-INV-010","CAL local companion propagation","SCI-RTC","src/common/definitions.tex","SCI-RTC-DEF-004; SCI-RTC-DEF-010","SCI-CAL","src/common/equations.tex; src/common/requirements.tex","SCI-CAL-EQ-008--009; SCI-CAL-REQ-031; SCI-CAL-REQ-039--043","declared transformation","COHERENT","HCF-001",""
